name,formatted_address,place_id,rating,user_ratings_total,types,latitude,longitude
Wellcome,"Red Hill Plaza, Shop G25, G/F Hong Kong, Tai Tam, Hong Kong",ChIJOR5VsOMBBDQR-cZKOddrqm4,4.1,57,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2364773,114.2232519
Wellcome,"G/F, Yue Tin Court, Yue Tin Court Market, 11-23 Ngan Shing St, Sha Tin, Hong Kong",ChIJE4tGhE8GBDQR-jiJfeavgEk,3.8,60,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3830986,114.2025315
Wellcome,"Shop No. 30, G/F, Wan Tau Tong Shopping Ctr, Tai Po, Hong Kong",ChIJo1bHRxUIBDQRD_PzkOjaVTw,3.7,152,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.4420238,114.1667061
Wellcome,"1/F, Un Chau Shopping Centre, Un Chau Estate, 303 Un Chau St, Cheung Sha Wan, Hong Kong",ChIJRah99U0HBDQR-inJQPrQyYg,3.3,111,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3375563,114.1562322
Wellcome,"Lung Poon Court, Diamond Hill, Hong Kong",ChIJOxsioNsGBDQRhNV56tGMJks,3.5,77,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.341779,114.200316
Wellcome,"LG/F, Smithfield Terrace Block D, Smithfield, Kennedy Town, Hong Kong",ChIJ9VQ6jJD_AzQRpB1MDh6Qog4,3.4,21,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2807786,114.1286676
Wellcome - Yat Tung Superstore,"Shop No 110, 1/F Eaton Shopping Centre, Yat Tung Estate, Tung Chung, Hong Kong",ChIJibJ9J6HiAzQR6f60A8w4neE,3.6,214,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2813936,113.9347961
Wellcome,"Cheung Hang Estate Block 4 Hang Chi House, LG 202 Cheung Hang Shopping Centre, Tsing Yi, Hong Kong",ChIJKRgpH9j4AzQRyvhUFD9UmBc,3.4,52,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3541857,114.097752
Wellcome,"Wearbest Building, 66 To Kwa Wan Rd, To Kwa Wan, Hong Kong",ChIJcbEJNtgABDQRoRteMKfSZTI,3.7,318,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3157615,114.1889025
Wellcome,"Shop No. LMC 132, Departure Concourse Paid Area, Lok MA Chau Station, Hong Kong",ChIJ1W3zTLv2AzQR3Hl0KEV4SSc,3.5,4,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.5150359,114.065626
Wellcome Supermarket,"11 On Chun St, Ma On Shan, Hong Kong",ChIJtcNtYbAIBDQRWVrDl6cZqxs,3.3,72,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.4250117,114.2283498
Wellcome,"G/F, 52 Tong Mi Rd, Mong Kok, Hong Kong",ChIJm1IJircABDQR4XzWH6UQy_I,3.7,156,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3207372,114.1658737
WellcomeTsui Ping,"1F Tsui Ping Shopping Circuit, 19 Tsui Ping Rd, North) Estate, Hong Kong",ChIJzU7mlVEBBDQR1Qwa2KYD4fs,3.7,334,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3149628,114.2299973
Wellcome,"Sim City Of Chung Kiu Comm, 47, 51 Shantung St, Mong Kok, Hong Kong",ChIJ2ZOxr8cABDQRp8QKPfEuEBg,3.7,97,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3176834,114.1701697
Wellcome,"Shop 1-11, Block 5, G/F Prosperous Garden, 3 Public Square St, Hong Kong",ChIJOUA6EcAABDQREAlUjAgIfDk,3.9,100,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3100436,114.1687768
