,name,lat1,lat2,lon1,lon2,Number_of_shop,ratingMean,Number_of_rating_Mean,Number_of_busStop,Number_of_Mtr,Number_of_competitor,district,predicted_sales,has_shop,rent,disposal,cost_per_grid
149,010-015,22.4056818,22.429784,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
150,011-001,22.429784,22.4538862,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
151,011-002,22.429784,22.4538862,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
152,011-003,22.429784,22.4538862,113.90352686666668,113.9352918,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
153,011-004,22.429784,22.4538862,113.9352918,113.96705673333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
154,011-005,22.429784,22.4538862,113.96705673333334,113.99882166666669,0,,,33,0,0,,8.38355618718477,0,0.6706844949747816,0.0,-0.6706844949747816
155,011-006,22.429784,22.4538862,113.99882166666669,114.0305866,1,3.6,181.0,106,2,4,,22.428583123542687,1,1.794286649883415,12.611537753638338,10.817251103754923
156,011-007,22.429784,22.4538862,114.0305866,114.06235153333334,0,,,36,1,1,,7.772172429859501,0,0.6217737943887601,0.0,-0.6217737943887601
157,011-008,22.429784,22.4538862,114.06235153333334,114.09411646666666,0,,,38,1,0,,9.156949284508588,0,0.732555942760687,0.0,-0.732555942760687
158,011-009,22.429784,22.4538862,114.09411646666666,114.1258814,0,,,30,0,0,,7.621414715622518,0,0.6097131772498015,0.0,-0.6097131772498015
159,011-010,22.429784,22.4538862,114.1258814,114.15764633333332,0,,,14,0,0,,3.556660200623842,0,0.2845328160499074,0.0,-0.2845328160499074
160,011-011,22.429784,22.4538862,114.15764633333332,114.18941126666668,2,3.5,106.5,69,2,1,Tai Po District,15.658885928431001,1,1.2527108742744801,12.611537753638338,11.358826879363857
161,011-012,22.429784,22.4538862,114.18941126666668,114.2211762,0,,,12,0,0,,3.0485658862490075,0,0.2438852708999206,0.0,-0.2438852708999206
162,011-013,22.429784,22.4538862,114.2211762,114.25294113333334,0,,,4,0,0,,1.016188628749669,0,0.08129509029997353,0.0,-0.08129509029997353
163,011-014,22.429784,22.4538862,114.25294113333334,114.28470606666669,0,,,3,0,0,,0.7621414715622519,0,0.06097131772498015,0.0,-0.06097131772498015
164,011-015,22.429784,22.4538862,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
